hops 8
config 0 1 1 false false
29 reply_formerr ignored connecting_tcp 0/0/0/7 E--K
29 reply_truncated ignored connecting_tcp 0/0/0/7 E--K
29 reply_badcookie ignored connecting_tcp 0/0/0/7 E--K
29 cancel none failed canceled -
28 reply_unmatched ignored tcp_needed 0/0/0/7 E--K
28 cancel none failed canceled -
27 reply_badcookie accepted tcp_needed 0/0/0/7 E--K
27 cancel none failed canceled -
26 send_failed none failed timeout -
26 reply_unmatched ignored query_ready 0/0/0/7 E--K
26 cancel none failed canceled -
25 reply_unmatched ignored query_ready 0/0/0/7 E--K
25 cancel none failed canceled -
24 cancel none failed canceled -
23 send_failed none failed timeout -
23 reply_unmatched ignored query_ready 0/0/0/7 E---
23 cancel none failed canceled -
22 reply_unmatched ignored query_ready 0/0/0/7 E---
22 cancel none failed canceled -
21 reply_nxdomain accepted failed name_not_found -
21 reply_nodata accepted failed no_data -
21 reply_servfail accepted failed all_servers_failed -
21 reply_formerr accepted query_ready 0/0/0/6 ----
22 poll send_udp query_ready 0/0/0/6 ----
23 poll send_udp query_ready 0/0/0/6 ----
23 sent none awaiting_udp 0/0/0/6 ----
24 poll wait awaiting_udp 0/0/0/6 ----
24 expire failed_timeout failed timeout -
24 reply_unmatched ignored awaiting_udp 0/0/0/6 ----
24 reply_answer accepted done - -
24 reply_cname accepted query_ready 0/0/0/7 ----
24 reply_nxdomain accepted failed name_not_found -
24 reply_nodata accepted failed no_data -
24 reply_servfail accepted failed all_servers_failed -
24 reply_formerr accepted failed all_servers_failed -
24 reply_truncated accepted tcp_needed 0/0/0/6 ----
25 poll connect_tcp connecting_tcp 0/0/0/6 ----
26 poll wait connecting_tcp 0/0/0/6 ----
26 expire failed_timeout failed timeout -
26 tcp_connected none tcp_ready 0/0/0/6 ----
27 poll send_tcp tcp_ready 0/0/0/6 ----
28 poll send_tcp tcp_ready 0/0/0/6 ----
28 sent none awaiting_tcp 0/0/0/6 ----
29 poll wait awaiting_tcp 0/0/0/6 ----
29 expire failed_timeout failed timeout -
29 tcp_failed none failed timeout -
29 reply_unmatched ignored awaiting_tcp 0/0/0/6 ----
29 reply_answer accepted done - -
29 reply_cname accepted query_ready 0/0/0/7 ----
29 reply_nxdomain accepted failed name_not_found -
29 reply_nodata accepted failed no_data -
29 reply_servfail accepted failed all_servers_failed -
29 reply_formerr accepted failed all_servers_failed -
29 reply_truncated accepted failed no_data -
29 reply_badcookie accepted failed all_servers_failed -
29 cancel none failed canceled -
28 send_failed none failed timeout -
28 tcp_failed none failed timeout -
28 reply_unmatched ignored tcp_ready 0/0/0/6 ----
28 cancel none failed canceled -
27 tcp_failed none failed timeout -
27 reply_unmatched ignored tcp_ready 0/0/0/6 ----
27 cancel none failed canceled -
26 tcp_failed none failed timeout -
26 reply_unmatched ignored connecting_tcp 0/0/0/6 ----
26 reply_answer ignored connecting_tcp 0/0/0/6 ----
26 reply_cname ignored connecting_tcp 0/0/0/6 ----
26 reply_nxdomain ignored connecting_tcp 0/0/0/6 ----
26 reply_nodata ignored connecting_tcp 0/0/0/6 ----
26 reply_servfail ignored connecting_tcp 0/0/0/6 ----
26 reply_formerr ignored connecting_tcp 0/0/0/6 ----
26 reply_truncated ignored connecting_tcp 0/0/0/6 ----
26 reply_badcookie ignored connecting_tcp 0/0/0/6 ----
26 cancel none failed canceled -
